,Tokenized_Text,Tweets_Clean,Tweet_Lemmatized
20,"['i', 'was', 'pro', 'choice', 'and', 'anti', 'mandate', '.']","['pro', 'choice', 'anti', 'mandate', '.']","['pro', 'choice', 'anti', 'mandate', '.']"
21,"['we', 'were', 'categorically', 'told', 'that', 'we', 'were…', '.']","['categorically', 'told', 'were…', '.']","['categorically', 'told', 'were…', '.']"
22,"['outsidethebox', 'is', 'veganhippie', 'outsidethebox', 'is', 'veganhippie.aka', 'jon', 'drane', 'a', 'convicted', 'felon…', '.rt', '»', 'binance', 'to', 'train', 'law', 'enforcement', 'on', 'how', 'to', 'stop', 'crypto', 'crime', '.usd', '30', 'billion', '=', 'cost', 'of', '#', 'cybercrime', 'in', '#', 'blockchain', 'per', 'year', '.']","['outsidethebox', 'veganhippie', 'outsidethebox', 'veganhippie.aka', 'jon', 'drane', 'convicted', 'felon…', 'binance', 'train', 'law', 'enforcement', 'stop', 'crypto', 'crime', '.usd', '30', 'billion', '=', 'cost', 'cybercrime', 'blockchain', 'per', 'year', '.']","['outsidethebox', 'veganhippie', 'outsidethebox', 'veganhippie.aka', 'jon', 'drane', 'convicted', 'felon…', 'binance', 'train', 'law', 'enforcement', 'stop', 'crypto', 'crime', '.usd', '30', 'billion', '=', 'cost', 'cybercrime', 'blockchain', 'per', 'year', '.']"
23,"['#', 'cryptos', 'are', 'reaching', 'out', 'for', 'our', '#', 'cybersecurity', 'ser…', '.']","['cryptos', 'reaching', 'cybersecurity', 'ser…', '.']","['cryptos', 'reaching', 'cybersecurity', 'ser…', '.']"
24,"['i', 'think', 'what', 'would', 'be', 'funny', 'is', 'if', 'the', 'government', 'went', 'after', 'crypto', 'as', 'if', 'it', 'was', 'proceeds', 'of…', '.rt', 'great', 'first', 'day', 'at', 'acams', 'las', 'vegas', 'with', 'a', '3hr', 'workshop', 'on', 'how', 'to', 'mitigate', 'financial', 'crime', 'risk', 'in', 'crypto', '.']","['think', 'would', 'funny', 'government', 'went', 'crypto', 'proceeds', 'of…', 'great', 'first', 'day', 'acams', 'las', 'vegas', '3hr', 'workshop', 'mitigate', 'financial', 'crime', 'risk', 'crypto', '.']","['think', 'would', 'funny', 'government', 'went', 'crypto', 'proceeds', 'of…', 'great', 'first', 'day', 'acams', 'la', 'vega', '3hr', 'workshop', 'mitigate', 'financial', 'crime', 'risk', 'crypto', '.']"
25,"['more', 'good', 'stuff', 'o…', '.']","['good', 'stuff', 'o…', '.']","['good', 'stuff', 'o…', '.']"
26,"['thanks', 'for', 'this', 'opportunity.your', 'team', 'are', 'amazing', 'and', 'top', 'notch', 'in', 'the', 'game', '.']","['thanks', 'opportunity.your', 'team', 'amazing', 'top', 'notch', 'game', '.']","['thanks', 'opportunity.your', 'team', 'amazing', 'top', 'notch', 'game', '.']"
27,"['i', 'know', 'am', 'not', 'always', 'l…', '.rt', 'crypto', 'has', ':', '-caused', 'an', 'epic', 'crypto-crime-wave', 'of', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa…', '.']","['know', 'always', 'l…', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa…', '.']","['know', 'always', 'l…', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa…', '.']"
28,"['democrats', 'have', 'given', 'us', 'a', 'permanent', '8', '%', 'increase', 'in', 'food', 'and', 'merchandise', 'prices', '.']","['democrats', 'given', 'us', 'permanent', '8', '%', 'increase', 'food', 'merchandise', 'prices', '.']","['democrat', 'given', 'u', 'permanent', '8', '%', 'increase', 'food', 'merchandise', 'price', '.']"
29,"['gas', 'prices', 'are', 'rising', 'ag…', '.rt', 'i', 'was', 'never', 'against', 'the', 'vaccine', '.']","['gas', 'prices', 'rising', 'ag…', 'never', 'vaccine', '.']","['gas', 'price', 'rising', 'ag…', 'never', 'vaccine', '.']"
30,"['i', 'had', 'it', '.']",['.'],['.']
31,"['i', 'was', 'pro', 'choice', 'and', 'anti', 'mandate', '.']","['pro', 'choice', 'anti', 'mandate', '.']","['pro', 'choice', 'anti', 'mandate', '.']"
32,"['we', 'were', 'categorically', 'told', 'that', 'we', 'were…', '.']","['categorically', 'told', 'were…', '.']","['categorically', 'told', 'were…', '.']"
33,"['your', 'owner', 'rejected', 'you', '.']","['owner', 'rejected', '.']","['owner', 'rejected', '.']"
34,"['tried', 'to', 'drown', 'you', 'in', 'the', 'toilet', '.']","['tried', 'drown', 'toilet', '.']","['tried', 'drown', 'toilet', '.']"
35,"['now', 'you', ""'re"", 'ready', 'for', 'some', 'fall', 'guys', 'st…', '.please', 'join', 'us', 'for', 'an', 'eye-opening', 'discussion', 'tuesday', ',', 'oct.18', ',', 'at', '4pm', 'about', 'how', 'crypto', 'assets', 'are', 'used', 'for', 'crime', ',', 'de…', '.rt', 'passcon', 'global', 'roadshow', '2020', '-', 'proud', 'to', 'announce', 'that', 'we', 'go', 'with', 'our', 'unique', 'anti-financial-crime', '24/7', 'one-stop-shop', 'on', 'glob….rt', 'he', 'who', 'is', 'faithful', 'in', 'little', 'crime', '...', '.', 'ca', ""n't"", 'sleep', 'because', 'of', 'bitcoin', 'maxis', '.']","[""'re"", 'ready', 'fall', 'guys', 'st…', '.please', 'join', 'us', 'eye-opening', 'discussion', 'tuesday', ',', 'oct.18', ',', '4pm', 'crypto', 'assets', 'used', 'crime', ',', 'de…', 'passcon', 'global', 'roadshow', '2020', '-', 'proud', 'announce', 'go', 'unique', 'anti-financial-crime', '24/7', 'one-stop-shop', 'glob….rt', 'faithful', 'little', 'crime', '...', '.', 'ca', ""n't"", 'sleep', 'bitcoin', 'maxis', '.']","[""'re"", 'ready', 'fall', 'guy', 'st…', '.please', 'join', 'u', 'eye-opening', 'discussion', 'tuesday', ',', 'oct.18', ',', '4pm', 'crypto', 'asset', 'used', 'crime', ',', 'de…', 'passcon', 'global', 'roadshow', '2020', '-', 'proud', 'announce', 'go', 'unique', 'anti-financial-crime', '24/7', 'one-stop-shop', 'glob….rt', 'faithful', 'little', 'crime', '...', '.', 'ca', ""n't"", 'sleep', 'bitcoin', 'maxi', '.']"
36,"['read', 'this', 'and', 'all', 'i', 'can', 'say', 'is', ':', 'be', 'more', 'toxic', '.']","['read', 'say', ':', 'toxic', '.']","['read', 'say', ':', 'toxic', '.']"
37,"['``', 'crypto', ""''"", 'is', 'a…', '.crypto', 'crime-centered', 'justice', 'division', 'chief', 'leaving', ':', 'report', '...', 'cryptocurrency', 'sponsor', '.']","['``', 'crypto', ""''"", 'a…', '.crypto', 'crime-centered', 'justice', 'division', 'chief', 'leaving', ':', 'report', '...', 'cryptocurrency', 'sponsor', '.']","['``', 'crypto', ""''"", 'a…', '.crypto', 'crime-centered', 'justice', 'division', 'chief', 'leaving', ':', 'report', '...', 'cryptocurrency', 'sponsor', '.']"
38,"['the', 'only', 'point', 'of', 'existing', 'crypto', 'networks', 'is', 'scams', ',', 'money', 'laundering', ',', 'and', 'crime', '-', 'like', 'russia.crypto', 'bad', 'guys', 'vs.', '150', 'u.s.', 'prosecutors', '-', 'who', 'will', 'win', '?']","['point', 'existing', 'crypto', 'networks', 'scams', ',', 'money', 'laundering', ',', 'crime', '-', 'like', 'russia.crypto', 'bad', 'guys', 'vs.', '150', 'u.s.', 'prosecutors', '-', 'win', '?']","['point', 'existing', 'crypto', 'network', 'scam', ',', 'money', 'laundering', ',', 'crime', '-', 'like', 'russia.crypto', 'bad', 'guy', 'vs.', '150', 'u.s.', 'prosecutor', '-', 'win', '?']"
39,"['#', 'crypto', '#', 'cryptonews', '#', 'cryptocurrency', '#', 'business', '.rt', 'while', 'democrats', 'are', 'babbling', 'about', 'abortion', 'and', 'trans', 'rights', ',', 'americans', 'are', 'actually', 'worried', 'about', 'putting', 'food', 'on', 'their', 't….rt', 'crypto', 'has', ':', '-caused', 'an', 'epic', 'crypto-crime-wave', 'of', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….great', 'first', 'day', 'at', 'acams', 'las', 'vegas', 'with', 'a', '3hr', 'workshop', 'on', 'how', 'to', 'mitigate', 'financial', 'crime', 'risk', 'in', 'crypto', '.']","['crypto', 'cryptonews', 'cryptocurrency', 'business', 'democrats', 'babbling', 'abortion', 'trans', 'rights', ',', 'americans', 'actually', 'worried', 'putting', 'food', 't….rt', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….great', 'first', 'day', 'acams', 'las', 'vegas', '3hr', 'workshop', 'mitigate', 'financial', 'crime', 'risk', 'crypto', '.']","['crypto', 'cryptonews', 'cryptocurrency', 'business', 'democrat', 'babbling', 'abortion', 'trans', 'right', ',', 'american', 'actually', 'worried', 'putting', 'food', 't….rt', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….great', 'first', 'day', 'acams', 'la', 'vega', '3hr', 'workshop', 'mitigate', 'financial', 'crime', 'risk', 'crypto', '.']"
40,"['more', 'good…', '.everything', 'in', 'crypto', 'is', 'a', 'crime', 'may', 'as', 'well', 'scam', 'a', 'bag', 'and', 'try', 'your', 'best', 'to', 'make', 'it', 'out', 'alive', '✌️.rt', 'crypto', 'has', ':', '-caused', 'an', 'epic', 'crypto-crime-wave', 'of', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….rt', 'crypto', 'has', ':', '-caused', 'an', 'epic', 'crypto-crime-wave', 'of', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….', '#', 'binance', 'holds', '#', 'crypto', 'security', 'training', 'workshop', 'for', 'the', 'national', 'bank', 'of', 'georgia', 'and', 'the', 'nation', '’', 's', 'financial', 'monit…', '.rt', 'crypto', 'has', ':', '-caused', 'an', 'epic', 'crypto-crime-wave', 'of', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….rt', 'tokens', 'are', ""n't"", 'sustainable', 'and', ',', 'in', 'fact', ',', 'an', 'incredible', 'detriment', 'to', 'that', 'entire', 'industry', '.']","['good…', '.everything', 'crypto', 'crime', 'may', 'well', 'scam', 'bag', 'try', 'best', 'make', 'alive', '✌️.rt', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….rt', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….', 'binance', 'holds', 'crypto', 'security', 'training', 'workshop', 'national', 'bank', 'georgia', 'nation', '’', 'financial', 'monit…', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….rt', 'tokens', ""n't"", 'sustainable', ',', 'fact', ',', 'incredible', 'detriment', 'entire', 'industry', '.']","['good…', '.everything', 'crypto', 'crime', 'may', 'well', 'scam', 'bag', 'try', 'best', 'make', 'alive', '✌️.rt', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….rt', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….', 'binance', 'hold', 'crypto', 'security', 'training', 'workshop', 'national', 'bank', 'georgia', 'nation', '’', 'financial', 'monit…', 'crypto', ':', '-caused', 'epic', 'crypto-crime-wave', 'ransomware/drug', 'dealing/sex', 'trafficking/money', 'laundering/terrorism/sa….rt', 'token', ""n't"", 'sustainable', ',', 'fact', ',', 'incredible', 'detriment', 'entire', 'industry', '.']"
41,"['tokens', 'are', 'why', 'crypto', 'will', 'probably', 'f…', '.']","['tokens', 'crypto', 'probably', 'f…', '.']","['token', 'crypto', 'probably', 'f…', '.']"
