"","log_funds_lost","log_funds_returned","scamNetworks","month_of_attack","day_of_week_of_attack","day_of_year_of_attack","scam_type_grouped"
"308",10.7645826489423,0,"Binance","5","3",146,"Exit Scam"
"309",10.6477792664192,0,"Ethereum","10","3",303,"Exit Scam"
"310",14.0573722271382,14.0573730123027,"Solana","12","1",355,"Exploit"
"311",18.7571529805736,0,"Polygon","12","6",346,"Exploit"
"312",11.9856815527242,0,"Binance","10","1",277,"Exploit"
"313",12.8346813049525,0,"Ethereum","7","6",198,"Exploit"
"314",14.7318012898384,14.7318016898383,"Ethereum","6","0",165,"Exploit"
"315",13.771732114118,13.7717331588684,"Ethereum","3","5",64,"Exploit"
"316",19.4503001611335,19.450300164705,"CEX","9","4",269,"Exploit"
"317",13.7928047204286,0,"Ethereum","9","6",261,"Exploit"
"318",11.7716369121705,0,"Ethereum","10","0",293,"Exit Scam"
"319",11.3934209484155,0,"Binance","8","0",220,"Exit Scam"
"320",12.2548628096996,0,"Binance","6","5",176,"Exit Scam"
"321",13.9246034994467,0,"Binance","4","4",105,"Exploit"
"322",16.2134058307626,15.1505118878545,"Ethereum","5","6",121,"Exploit"
"323",13.1223633774043,0,"Ethereum","3","0",74,"Exploit"
"324",13.4989529031564,0,"Polygon","11","3",329,"Exit Scam"
"325",13.4074069721331,0,"Binance","2","2",40,"Exit Scam"
"326",12.4516623856742,0,"Binance","9","0",262,"Exit Scam"
"327",18.3693874495648,0,"CEX","7","5",184,"Exit Scam"
"328",21.4164130175064,17.8408622665566,"CEX","1","0",15,"Exit Scam"
"329",13.4710789292554,0,"Ethereum","11","3",322,"Exit Scam"
"330",16.3804599154258,0,"Polygon","2","1",39,"Exploit"
"331",12.0137007528827,0,"Near","8","1",228,"Exploit"
"332",10.9681982895286,0,"Other","3","6",69,"Exploit"
"333",15.1080709963337,0,"Binance","5","5",142,"Exploit"
"334",13.9495570678931,0,"Binance","10","6",282,"Exit Scam"
"335",9.17668017048355,0,"Ethereum","10","4",297,"Exit Scam"
"336",9.55393007636626,0,"Binance","8","3",237,"Exit Scam"
"337",15.3774259524259,0,"Ethereum","8","0",213,"Exploit"
"338",11.0162985606041,0,"Ethereum","11","0",335,"Exit Scam"
"339",17.2478838801966,0,"Other","11","6",323,"Exploit"
"340",12.227144075399,0,"Binance","7","4",196,"Exit Scam"
"341",19.602407939331,19.6024079423985,"Solana","2","2",33,"Exploit"
"342",9.25177018173932,0,"Ethereum","11","1",322,"Exit Scam"
"343",8.77183540978982,0,"Other","3","3",61,"Exit Scam"
"344",10.6454248972655,0,"Ethereum","2","1",42,"Exploit"
"345",13.8155105579643,0,"Polygon","7","2",195,"Exploit"
"346",15.4999080655326,13.5278298188449,"Ethereum","3","6",73,"Exploit"
"347",9.57498348556409,0,"Ethereum","6","4",161,"Exit Scam"
"348",15.8567308868239,0,"CEX","7","3",207,"Exploit"
"349",12.0448293726247,0,"Ethereum","11","5",312,"Exit Scam"
"350",13.5923670066501,13.5437070839988,"Binance","7","6",192,"Exploit"
"351",14.4626138000228,0,"CEX","8","4",227,"Exit Scam"
"352",11.0186291431554,0,"Ethereum","12","0",349,"Exit Scam"
"353",11.2447845477253,0,"Ethereum","2","6",45,"Exit Scam"
"354",11.5129254649702,0,"Binance","11","5",324,"Exploit"
"355",15.0094330264367,0,"Moonriver","2","6",37,"Exploit"
"356",24.4121452910603,0,"Terra Classic","5","6",128,"Exploit"
"357",8.54675199365778,0,"Ethereum","12","6",348,"Exit Scam"
"358",12.4090134895269,0,"Ethereum","9","5",249,"Exploit"
"359",21.7879765739388,0,"CEX","12","0",350,"Exit Scam"
"360",6.31896811374643,0,"Ethereum","12","5",340,"Exit Scam"
"361",5.62401750618734,0,"Ethereum","12","0",342,"Exit Scam"
"362",10.2291515904407,0,"Binance","2","2",54,"Exit Scam"
"363",16.9935643883122,14.7318016898383,"Ethereum","10","0",300,"Exploit"
"364",14.2209756660724,0,"Polygon","6","5",156,"Exit Scam"
"365",16.1070347035989,0,"CEX","7","1",210,"Exploit"
"366",8.09009578318096,0,"Ethereum","12","3",352,"Exit Scam"
"367",12.9387409748773,0,"xDAI","11","6",325,"Exploit"
"368",15.9845642583338,0,"CEX","6","0",164,"Exploit"
"369",14.1731850022361,0,"Ethereum","7","6",191,"Exploit"
"370",11.5507894890061,0,"Binance","9","5",253,"Exploit"
"371",9.95460833204384,0,"Ethereum","12","4",339,"Exit Scam"
"372",17.6221730477346,0,"CEX","3","1",85,"Exploit"
"373",14.0778748224318,0,"Binance","4","3",98,"Exploit"
"374",9.63560810738053,0,"Other","4","2",102,"Exploit"
"375",10.3671272246954,0,"Ethereum","12","3",345,"Exit Scam"
"376",19.0625346301248,17.4084936254883,"Ethereum","8","0",213,"Exploit"
"377",15.4249484703984,15.4249486703984,"Heco","7","4",183,"Exploit"
"378",14.2209756660724,0,"Binance","6","1",172,"Exit Scam"
"379",10.3051788822247,0,"Ethereum","10","3",282,"Exit Scam"
"380",18.7571529805736,0,"Ethereum","12","6",346,"Exploit"
"381",15.4249484703984,0,"Other","6","2",159,"Exploit"
"382",10.8362420104409,0,"Binance","2","0",45,"Exit Scam"
"383",12.1951026950415,0,"Ethereum","12","0",349,"Exit Scam"
"384",14.1519827945855,0,"CEX","7","4",213,"Exit Scam"
"385",18.3902215364677,0,"CEX","8","3",231,"Exploit"
"386",12.2439366695661,0,"Ethereum","1","2",6,"Exit Scam"
"387",10.8415397761918,0,"Other","5","1",133,"Exploit"
"388",18.1943950863885,18.1943950989278,"Arbitrum","4","5",120,"Exploit"
"389",14.7318012898384,0,"EOS","9","2",253,"Exit Scam"
"390",10.1033215344147,0,"Binance","3","4",78,"Exit Scam"
"391",16.1180956509583,0,"TRON","10","2",302,"Exit Scam"
"392",6.34388043412633,0,"Binance","12","3",352,"Exit Scam"
"393",15.7614207070196,14.5086582385241,"Ethereum","11","5",319,"Exploit"
"394",14.5086577385242,0,"CEX","7","4",190,"Exploit"
"395",18.1943950863885,18.1943950989278,"Ethereum","4","5",120,"Exploit"
"396",13.6529916284665,0,"Ethereum","2","6",59,"Exploit"
"397",14.2209756660724,0,"Binance","7","4",211,"Exploit"
"398",11.516588746952,0,"Ethereum","1","3",21,"Exit Scam"
"399",11.418614785499,0,"Binance","10","1",277,"Exploit"
"400",13.9787741601245,0,"Binance","8","1",242,"Exit Scam"
"401",15.7614207070196,0,"Ethereum","5","0",137,"Exploit"
"402",9.08023168662916,0,"Ethereum","1","6",3,"Exit Scam"
"403",8.74560285240295,0,"Ethereum","12","1",350,"Exit Scam"
"404",11.8635823365834,0,"Binance","6","0",171,"Exit Scam"
"405",14.3229948055453,0,"Binance","3","6",72,"Exploit"
"406",18.5428983766766,18.5428983855262,"Elrond","6","6",156,"Exploit"
"407",17.546011686769,0,"CEX","5","1",127,"Exploit"
"408",16.5527490719734,0,"Cronos","2","2",40,"Exploit"
"409",18.605379032414,0,"Ethereum","12","3",336,"Exploit"
"410",10.2650007731151,0,"Binance","3","1",75,"Exit Scam"
"411",12.0576364402807,12.1567983641949,"Fantom","8","2",216,"Exploit"
"412",9.02038978801774,0,"CEX","12","4",356,"Exploit"
"413",6.79346613258001,0,"Ethereum","12","0",342,"Exit Scam"
"414",12.7183721825522,0,"Binance","6","1",180,"Exploit"
"415",12.7823488743587,0,"Ethereum","2","5",46,"Exploit"
"416",10.6032130484562,0,"Avax","5","1",151,"Exit Scam"
