"","source","title","description","publishedAt","content"
"67"," Reuters","Ethereum blockchain to undergo major upgrade to cut energy use - Reuters","A long-awaited software upgrade to the Ethereum blockchain aimed at slashing its huge energy consumption is expected this week, a move proponents say may widen the technology's use and support the price of the ether token.",2022-09-12 10:39:00,"LONDON, Sept 12 (Reuters) - A long-awaited software upgrade to the Ethereum blockchain aimed at slashing its huge energy consumption is expected this week, a move proponents say may widen the technol… [+3142 chars]"
"68"," Business Insider","Plynk investing review: Invest with unused gift cards and access jargon-free educational content","Plynk offers DIY trading for new investors, while providing educational resources and letting you invest unused gift cards in stocks, ETFs, and more.",2022-09-13 16:42:39,"Insider's experts choose the best products and services to help make smart decisions with your money (heres how). In some cases, we receive a commission from our our partners, however, our opinions a… [+8370 chars]"
"69"," Business Insider","JPMorgan CEO Jamie Dimon slammed crypto as dangerous - and called bitcoin a Ponzi scheme","The billionaire banker argued that bitcoin and other speculative tokens don't do anything, and facilitate fraud, theft, and money laundering.",2022-09-22 10:26:24,"Jamie Dimon has doubled down on his disdain for bitcoin and some other cryptocurrencies, arguing they serve no purpose beyond vacuuming up new buyers' money to pay out profits to their existing holde… [+2764 chars]"
"70"," Business Insider","SEC Chair Gary Gensler sends a message to crypto startup founders and VCs: 'This field will not take off unless you have some trust'","SEC Chair Gary Gensler said at the NYC Summit that he believes most cryptocurrencies are securities and fall under his agency's scope.",2022-09-08 16:32:04,"The crypto industry is not going to make it without increased regulation to build trust among investors and the general public, says Gary Gensler, the chair of the Securities and Exchange Commission.… [+1490 chars]"
"71"," Reuters","Cryptoverse: After Merge, ether heads for a $20 billion Shanghai splurge - Reuters","Cryptoverse: After Merge, ether heads for a $20 billion Shanghai splurge  Reuters",2022-09-20 05:24:00,"Sept 20 (Reuters) - The Merge came, saw and conquered. Not that you'd guess from crypto prices.
The Ethereum blockchain's mega-upgrade finally went live on Sept. 15, moving it to a less energy-inten… [+4269 chars]"
"72"," Business Insider","Over 260 of the most promising startups of 2022 in edtech, fintech, crypto, proptech and more, according to VCs","Despite the rough economic environment for tech startups, some are thriving. We asked VCs to name the most promising ones across industries.",2022-09-22 20:43:49,"Each year, we reach out to hundreds of VCs at nearly 100 firms and ask them to tell us which early stage startups are the most promising of the year.
VCs were asked to name startups within their por… [+1474 chars]"
"73"," Reuters","Cryptoverse: Bleeding bitcoin's holding out for a hero - Reuters","Cryptoverse: Bleeding bitcoin's holding out for a hero  Reuters",2022-08-30 05:16:00,"Aug 30 (Reuters) - Who can save bitcoin?
The world's biggest cryptocurrency can't seem to catch a break. It finally looked to be regaining strength this month, breaching $25,000 for the first time s… [+3695 chars]"
"74"," Business Insider","Terra founder Do Kwon faces an arrest warrant in South Korea for alleged capital markets law violations","A court in Seoul issued the warrant for Do Kwon and five others, according to a text message from the prosecutor's office cited by Bloomberg.",2022-09-14 13:10:23,"Terraform Labs founder Do Kwon is facing an arrest warrant issued by a South Korean court for alleged violations of a capital markets law, according to a Bloomberg report. 
The warrant also includes… [+1103 chars]"
"75"," Business Insider","Billionaire FTX chief Sam Bankman-Fried says hawkish Fed policy and the dollar's historic climb is weighing on crypto","At the SALT Conference in New York, the billionaire FTX chief discussed the strengthening dollar and crypto's bumpy year.",2022-09-13 17:27:06,"Billionaire Sam Bankman-Fried said stringent monetary policy from the Fed and soaring inflation have weighed on cryptocurrencies this year. 
""Dollars are up this year,"" Bankman-Fried said at the SAL… [+1176 chars]"
"76"," Business Insider","What is cryptocurrency? Here's what to know about this increasingly popular digital currency before getting involved","Cryptocurrencies are decentralized, digital currencies that use blockchain technology to manage transactions and keep them secure.",2022-09-23 21:15:06,"Insider's experts choose the best products and services to help make smart decisions with your money (heres how). In some cases, we receive a commission from our our partners, however, our opinions a… [+8777 chars]"
"77"," Business Insider","'Big Short' investor Michael Burry says the epic market crash he predicted is in full swing - and flags crypto, SPACs, and meme stocks as early victims","Burry, who repeatedly sounded the alarm on the boom in speculative assets, checked off his forecast of the bubble bursting as another correct call.",2022-09-07 11:38:44,"Michael Burry identified a market bubble of unprecedented size and scope last summer, and warned the investors buying into the hype and speculation to brace for a historic crash.
The fund manager of… [+2311 chars]"
"78"," Business Insider","The crypto bear market will continue if bitcoin confirms its recent breakdown below $20,000, Fairlead's Katie Stockton says","""Short-term momentum has shifted negative per a new daily MACD 'sell' signal,"" Fairlead Strategies' Katie Stockton said.",2022-09-21 18:14:47,"The crypto bear market is likely to continue as long as bitcoin confirms its recent breakdown below $20,000, according to a Tuesday note from Fairlead Strategies.
The technical analysis-focused rese… [+2155 chars]"
"79"," Reuters","Ethereum blockchain has completed major software upgrade, co-founder says - Reuters","A major software upgrade to the Ethereum blockchain aimed at drastically reducing its energy usage has been completed, Vitalik Buterin, Ethereum inventor and co-founder tweeted on Thursday.",2022-09-15 07:11:00,"Sept 15 (Reuters) - A major software upgrade to the Ethereum blockchain aimed at drastically reducing its energy usage has been completed, Vitalik Buterin, Ethereum inventor and co-founder tweeted on… [+703 chars]"
"80"," Business Insider","The 'head trader' of a $100 million investment fraud scheme posing as a crypto platform called EmpiresX has pleaded guilty","Joshua David Nicholas of EmpiresX pleaded guilty to conspiracy to commit securities fraud in what the Department of Justice said was a Ponzi scheme.",2022-09-10 14:37:00,"The ""head trader"" of an investment fraud scheme posing as a cryptocurrency platform that defrauded investors of about $100 million has pleaded guilty to one count of conspiracy to commit securities f… [+1577 chars]"
"81"," Business Insider","Elon Musk's crypto interview was broadcast on the South Korean government's YouTube channel that was hacked and renamed 'SpaceX Invest'","The breach on Saturday morning is the fourth time in the last two weeks that a YouTube channel run by the South Korean government was hacked.",2022-09-05 03:48:07,"The South Korean government's official YouTube channel was hacked on Saturday morning to broadcast a video featuring billionaire Elon Musk chatting about cryptocurrency, according to local media repo… [+1879 chars]"
"82"," Business Insider","Michael Saylor's MicroStrategy buys the dip with fresh $6 million bitcoin purchase, adding to its crypto stockpile","As of September 22, MicroStrategy and its subsidiaries own about 130,000 bitcoins, bought at an average price of about $30,639, per Bloomberg.",2022-09-20 14:31:20,"MicroStrategy, helmed by famed bitcoin-bull Michael Saylor, purchased about $6 million in bitcoin between August 2 and September 19, a Tuesday SEC filing showed.
That's good for about 301 bitcoin, b… [+1049 chars]"
"83"," Business Insider","Dow slides 300 points as investors brace for rate-hike decision from the Federal Reserve","The 2-year Treasury yield, which is sensitive to Fed moves, surged as high as 3.983% intraday to hit the highest rate since 2007.",2022-09-20 20:06:26,"US stocks finished lower Tuesday as investors anxiously await interest rate guidance from the Federal Reserve's policy meeting. 
Stocks are under pressure from an anticipated 75-basis-point rate hik… [+548 chars]"
"84"," Business Insider","US stocks slip as the Fed begins its policy meeting and the 10-year yield hits a fresh 11-year high","The Federal Open Market Committee began its highly anticipated two-day meeting on Tuesday.",2022-09-20 13:42:59,"US stocks fell Tuesday as investors eyed the beginning of the latest central bank policy meeting that could spur more market fallout. 
The meeting concludes on Wednesday, and Wall Street is anticipa… [+542 chars]"
"85"," Business Insider","Dow plunges 485 points to hit new closing low for the year as interest rate and recession fears roil markets","The Dow Jones Industrial Average lost 4.5% on the week, the S&P 500 gave up 5.2%, and the Nasdaq tumbled 5.5%.",2022-09-23 20:10:03,"US stocks sold off for a fourth straight day on Friday as fears of higher interest rates and slowing economic growth continued to roil markets.
The Dow Jones Industrial Average entered a bear market… [+710 chars]"
"86"," Wired","Would You Ditch All This Chaos for a Country in the Cloud?","Balaji Srinivasan—technologist, investor, prophet, troll—says let the old world sink. Find your tribe and build your bespoke society, or get left behind.",2022-09-06 10:00:00,"As he accrues hundreds of thousands more Twitter followers, Srinivasan dispenses short-term advice (work from home, cancel group events, ramp up testing capacity, stop making comparisons with the flu… [+4906 chars]"
"87"," Business Insider","How to make an NFT: A step-by-step guide to creating non-fungible tokens","Making an NFT may sound like a technical process, but for most people familiar with the digital asset, it's simple.",2022-08-25 20:50:37,"Non-fungible tokens, or NFTs, have become a market mainstay. Although they're not necessarily new, NFTs have gained steam as artists use them to sell digital artwork, and traders jump on board to mak… [+9989 chars]"
"88"," Business Insider","A 23-year-old, self-described 'Crypto King' reportedly had his Lamborghini, BMWs, and McLarens seized after investors sued him claiming he stole $35 million","Around 140 investors reportedly gave at least $35 million to Aiden Pleterski's company as cryptocurrency and foreign exchange investments.",2022-09-21 22:06:37,"A 23-year-old Canadian who calls himself the ""Crypto King"" reportedly had $2 million worth of assets seized as he's being sued over allegations he defrauded investors.
The seized assets of the man, … [+2193 chars]"
"89"," Reuters","European markets watchdog on red alert for Ukraine war contagion - Reuters.com","The European Union's markets watchdog said on Thursday it was on red alert for contagion after inflation stoked by Russia's invasion of Ukraine has threatened markets' ability to function in an orderly way.",2022-09-01 09:08:00,"LONDON, Sept 1 (Reuters) - The European Union's markets watchdog said on Thursday it was on red alert for contagion after inflation stoked by Russia's invasion of Ukraine has threatened markets' abil… [+1922 chars]"
"90"," Reuters","Lululemon stretches inventory logic - Reuters.com","Like a small leggings tear, Lululemon Athletica’s <a href=""https://www.reuters.com/companies/LULU.O"" target=""_blank"">(LULU.O)</a> inventory issues could unravel. The $41 billion yoga-pants maker’s <a href=""https://corporate.lululemon.com/media/press-releases/…",2022-09-02 16:56:00,"TORONTO, Sept 2 (Reuters Breakingviews) - Like a small leggings tear, Lululemon Athleticas (LULU.O) inventory issues could unravel. The $41 billion yoga-pants makers second-quarter revenue increased … [+1911 chars]"
"91"," Reuters","Bitcoin falls below $19000 as cryptos creak under rate hike risk - Reuters","Cryptocurrencies fell to fresh lows on Monday on regulatory concerns and as investors globally turned shy on risky assets with interest rate rises looming around the world.",2022-09-19 06:38:00,"SINGAPORE, Sept 19 (Reuters) - Cryptocurrencies fell to fresh lows on Monday on regulatory concerns and as investors globally turned shy on risky assets with interest rate rises looming around the wo… [+1578 chars]"
"92"," Reuters","Central African Republic top court blocks purchases with new cryptocurrency - Reuters","Central African Republic's Constitutional Court on Monday ruled that the purchase of citizenship, ""e-residency"" and land using a cryptocurrency the government launched last month was unconstitutional.",2022-08-29 18:10:00,"BANGUI, Aug 29 (Reuters) - Central African Republic's Constitutional Court on Monday ruled that the purchase of citizenship, ""e-residency"" and land using a cryptocurrency the government launched last… [+1894 chars]"
"93"," Reuters","FTX Ventures plans to take 30% stake in Scaramucci's SkyBridge Capital - Reuters.com","FTX Ventures plans to scoop up a 30% stake in SkyBridge Capital, the companies said, making it the latest in a flurry of deals by cryptocurrency's white knight Sam Bankman-Fried.",2022-09-09 12:26:00,"Sept 9 (Reuters) - FTX Ventures plans to scoop up a 30% stake in SkyBridge Capital, the companies said, making it the latest in a flurry of deals by cryptocurrency's white knight Sam Bankman-Fried.
… [+1669 chars]"
"94"," Reuters","Instacart cuts staff, curbs hiring before IPO -The Information - Reuters","Grocery delivery app Instacart Inc has been letting go staff, slowing hiring and curbing other expenses as it heads toward a public listing, <a href=""https://bit.ly/3SySs6e"" target=""_blank"">the Information</a> reported on Saturday, citing people familiar with…",2022-09-25 00:36:00,"Sept 24 (Reuters) - Grocery delivery app Instacart Inc has been letting go staff, slowing hiring and curbing other expenses as it heads toward a public listing, the Information reported on Saturday, … [+1607 chars]"
"95"," Business Insider","The Dow sheds 300 points and bond yields climb amid warnings about the global economy","From the Federal Reserve to the Bank of Japan, central banks made key rate adjustments this week that rattled markets.",2022-09-23 13:37:13,"US stocks tumbled Friday and bond yields continued to climb amid new warnings on the global economy. 
The Dow lost more than 300 points, and each of the major indexes face their fourth losing sessio… [+854 chars]"
"96"," Business Insider","Legendary investor Mark Mobius says the Fed will hike interest rates as high as 9% if inflation stays high","Mark Mobius thinks the Fed will hike rates as high as 9% to tame inflation, adding that it believe rates must be higher than inflation to bring it down.",2022-09-14 15:18:29,"The Federal Reserve could hike interest rates as high as 9%, according to Mark Mobius. 
The famed investor told Bloomberg TV Wednesday that because inflation has remained persistently high, ""the Fed… [+1066 chars]"
"97"," Business Insider","Legendary investor Mark Mobius says the Fed will hike interest rates as high as 9% if inflation stays high","Mark Mobius thinks the Fed will hike rates as high as 9% to tame inflation, adding that it believe rates must be higher than inflation to bring it down.",2022-09-14 15:18:29,"The Federal Reserve could hike interest rates as high as 9%, according to Mark Mobius. 
The famed investor told Bloomberg TV Wednesday that because inflation has remained persistently high, ""the Fed… [+1066 chars]"
"98"," Business Insider","US stocks continue sell-off as traders brace for more Fed rate hikes later this week","Last week, global equities saw their worst five-day stretch since June as investors anticipate another jumbo rate hike from the Federal Reserve.",2022-09-19 13:37:48,"US stocks dropped Monday ahead of the Federal Reserve's two-day meeting, which begins Tuesday. The dip is a continuation of Friday's sell-off, in which indexes capped off their worst five-day stretch… [+1262 chars]"
"99"," Business Insider","Dogecoin creator says it 'annoyed' him when Elon Musk tried to send the cryptocurrency 'to the moon'","""He has a tendency to latch onto communities that he can then kind of absorb into his cult of personality,"" Jackson Palmer said.",2022-09-10 11:30:00,"Dogecoin co-creator Jackson Palmer said it bothered him when Elon Musk and WallStreetBets' copycat Reddit group SatoshiBets attempted to send the meme currency ""to the moon"" last year.
In an intervi… [+3349 chars]"
"100"," Business Insider","US stocks drop for a 3rd day as Treasury yields spike and recession fears grow after Fed rate hike","The Fed-policy-sensitive 2-year Treasury yield rose to 4.1% for a fresh 15-year high. The 10-year Treasury yield leapt 19 basis points to 3.7%.",2022-09-22 20:15:34,"US stocks finished lower Thursday, with the S&amp;P 500 sliding to a two-month low during the session as Treasury yields continued to climb following the Federal Reserve's latest interest rate increa… [+1719 chars]"
"101"," Business Insider","5 crypto scams to know before you start trading coins","Scammers use various techniques to rob crypto investors. Here are five scams to know and how to avoid them.",2022-09-16 21:42:21,"Insider's experts choose the best products and services to help make smart decisions with your money (heres how). In some cases, we receive a commission from our our partners, however, our opinions a… [+9504 chars]"
"102"," Business Insider","Tornado Cash was the preferred 'laundering tool' for most NFT scammers before it was sanctioned by the US Treasury, says Elliptic","The crypto mixing platform was the ""laundering tool of choice"" for 52% of NFT scammers, Elliptic Enterprises wrote in a report.",2022-08-25 13:18:29,"Bad actors turned to Tornado Cash as their preferred tool for laundering cryptocurrency proceeds from non-fungible token scams, research firm Elliptic Enterprises wrote in a Wednesday report. 
The p… [+1014 chars]"
"103"," Business Insider","What is cryptocurrency? Here's what to know about this increasingly popular digital currency before getting involved","Cryptocurrencies are decentralized, digital currencies that use blockchain technology to manage transactions and keep them secure.",2022-09-23 21:15:06,"Insider's experts choose the best products and services to help make smart decisions with your money (heres how). In some cases, we receive a commission from our our partners, however, our opinions a… [+8777 chars]"
"104"," The Verge","Tens of thousands of viewers are watching a fake Apple crypto scam on YouTube right now","A bogus channel is pretending to live stream an Apple event that actually appears to be a crypto scam. In the chat, the streamer is linking to a shady-looking crypto site.",2022-09-08 02:19:28,"To be absolutely clear: Apple is not hosting a crypto event
A screenshot from a bogus Apple live stream that actually seems to be a crypto scam.
Screenshot by Jay Peters / The Verge
Someone on You… [+2422 chars]"
"105"," The Verge","Streamer involved in Twitch gambling saga now embroiled in sexual assault allegations","Mizkif, owner of the Texas-based OTKNetwork, was accused of covering up and downplaying the sexual assault of a streamer after he took a jab at Trainwreckstv’s alleged crypto scam.",2022-09-20 20:31:45,"Streamer involved in Twitch gambling saga now embroiled in sexual assault allegations
Streamer involved in Twitch gambling saga now embroiled in sexual assault allegations
 / After taking shots at … [+3773 chars]"
"106"," TechCrunch","Apple settles lawsuit with developer over App Store rejections and scams","An app developer’s lawsuit over App Store rejections, scams and fraud has ended in a settlement agreement after court filings show a request to dismiss the suit earlier this summer. The plaintiff, app developer and former Pinterest engineer Kosta Eleftheriou,…",2022-09-01 19:21:03,"An app developer’s lawsuit over App Store rejections, scams and fraud has ended in a settlement agreement after court filings show a request to dismiss the suit earlier this summer. The plaintiff, ap… [+5948 chars]"
"107"," TechCrunch","Twitch responds to gambling scam drama by banning some betting sites","Twitch is cracking down on some gambling sites after a streamer scammed his peers out of tens of thousands of dollars to fuel a betting habit, kicking off a firestorm about how the platform should handle games of chance in the process. Over the weekend, ItsSl…",2022-09-21 05:59:13,"Twitch is cracking down on some gambling sites after a streamer scammed his peers out of tens of thousands of dollars to fuel a betting habit, kicking off a firestorm about how the platform should ha… [+3548 chars]"
"108"," TechCrunch","Arpeggi Labs banks a16z funding to build web3 music creation software","The quest to define what exactly a web3 use case looks like hasn’t always been easy, but has allowed plenty of founders to get creative in building out products designed to tap the ethos of decentralization and the business opportunities of the creator econom…",2022-09-14 19:17:36,"The quest to define what exactly a web3 use case looks like hasn’t always been easy, but has allowed plenty of founders to get creative in building out products designed to tap the ethos of decentral… [+2153 chars]"
"109"," Business Insider","Facebook scammers recruited into the shadowy job after being trafficked say they were punished with push-ups or tased for failing","One of the workers said workers who didn't meet their quota of ""clients"" for the Facebook scam had to do 50 push-ups for each client they missed.",2022-09-22 19:27:19,"A new investigation into the trafficking of Indonesian nationals into Cambodia sheds light on some of the working conditions of those caught up the shadowy world of scamming people on Facebook.
Indo… [+2466 chars]"
"110"," Reuters","Malaysia brings home 15 victims of Cambodian cybercrime racket - Reuters","Malaysian authorities have rescued 15 victims of suspected cybercrime rackets in Cambodia, its foreign ministry said, as the government steps up efforts to help hundreds of its citizens trapped by similar operations across Southeast Asia.",2022-09-22 02:52:00,"KUALA LUMPUR, Sept 22 (Reuters) - Malaysian authorities have rescued 15 victims of suspected cybercrime rackets in Cambodia, its foreign ministry said, as the government steps up efforts to help hund… [+1318 chars]"
"111"," Business Insider","What is cryptocurrency? Here's what to know about this increasingly popular digital currency before getting involved","Cryptocurrencies are decentralized, digital currencies that use blockchain technology to manage transactions and keep them secure.",2022-09-23 21:15:06,"Insider's experts choose the best products and services to help make smart decisions with your money (heres how). In some cases, we receive a commission from our our partners, however, our opinions a… [+8777 chars]"
"112"," Business Insider","5 crypto scams to know before you start trading coins","Scammers use various techniques to rob crypto investors. Here are five scams to know and how to avoid them.",2022-09-16 21:42:21,"Insider's experts choose the best products and services to help make smart decisions with your money (heres how). In some cases, we receive a commission from our our partners, however, our opinions a… [+9504 chars]"
"113"," Business Insider","Tornado Cash was the preferred 'laundering tool' for most NFT scammers before it was sanctioned by the US Treasury, says Elliptic","The crypto mixing platform was the ""laundering tool of choice"" for 52% of NFT scammers, Elliptic Enterprises wrote in a report.",2022-08-25 13:18:29,"Bad actors turned to Tornado Cash as their preferred tool for laundering cryptocurrency proceeds from non-fungible token scams, research firm Elliptic Enterprises wrote in a Wednesday report. 
The p… [+1014 chars]"
"114"," The Verge","Streamer involved in Twitch gambling saga now embroiled in sexual assault allegations","Mizkif, owner of the Texas-based OTKNetwork, was accused of covering up and downplaying the sexual assault of a streamer after he took a jab at Trainwreckstv’s alleged crypto scam.",2022-09-20 20:31:45,"Streamer involved in Twitch gambling saga now embroiled in sexual assault allegations
Streamer involved in Twitch gambling saga now embroiled in sexual assault allegations
 / After taking shots at … [+3773 chars]"
"115"," TechCrunch","Elon Musk taps the Twitter whistleblower for help in his quest to get out of the deal","With the Twitter trial date rapidly approaching, Elon Musk’s legal team sent a subpoena to former Twitter head of security Peiter “Mudge” Zatko, who filed a whistleblower complaint against the company that was made public last week. In the complaint,  Zatko a…",2022-08-29 21:41:04,"With the Twitter trial date rapidly approaching, Elon Musk’s legal team sent a subpoena to former Twitter head of security Peiter “Mudge” Zatko, who filed a whistleblower complaint against the compan… [+4830 chars]"
"116"," The Verge","Twitter starts testing an edit button, but you have to pay for it","Twitter is finally testing its edit button. Editable tweets will be available for some Twitter Blue subscribers in late September.",2022-09-01 12:52:48,"Twitter Blue subscribers get access later this month
Illustration by Alex Castro / The Verge
Twitter is now testing its highly-requested Edit Tweet feature. After years of memes and jokes, editable… [+2353 chars]"
"117"," Reuters","Cambodian police raid alleged cybercrime trafficking compounds | Reuters","Cambodian authorities said raids are underway this week at suspected cybercrime compounds across the Southeast Asian country, uncovering evidence of human trafficking, illegal confinement and torture.",2022-09-21 06:42:01,"BANGKOK, Sept 21 (Reuters) - Cambodian authorities said raids are underway this week at suspected cybercrime compounds across the Southeast Asian country, uncovering evidence of human trafficking, il… [+3035 chars]"
"118"," Reuters","Fugitive Turkish crypto fraud suspect arrested in Albania resort - Reuters","Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year, police and media said.",2022-08-30 13:06:00,"By Reuters Staff
TIRANA (Reuters) - Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year,… [+1638 chars]"
"119"," Reuters","Fugitive Turkish crypto fraud suspect arrested in Albania resort - Reuters","Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year, police and media said.",2022-08-30 13:05:00,"TIRANA, Aug 30 (Reuters) - Albanian police on Tuesday arrested the fugitive Turkish founder of crypto-exchange Thodex, wanted by Interpol for suspected crypto fraud and at large for a year, police an… [+1919 chars]"
"120"," Reuters","Ransomware group BlackCat behind Italy's GSE hacking, researchers say - Reuters.com","Hacking group BlackCat was behind a recent attack on Italy's state-owned energy services firm GSE, stole a massive amount of data and threatened to publish if their demands were not met, according to security researchers and documents seen by Reuters.",2022-09-02 20:05:00,"STOCKHOLM/MILAN, Sept 2 (Reuters) - Hacking group BlackCat was behind a recent attack on Italy's state-owned energy services firm GSE, stole a massive amount of data and threatened to publish if thei… [+1892 chars]"
"121"," Business Insider","Elon Musk's crypto interview was broadcast on the South Korean government's YouTube channel that was hacked and renamed 'SpaceX Invest'","The breach on Saturday morning is the fourth time in the last two weeks that a YouTube channel run by the South Korean government was hacked.",2022-09-05 03:48:07,"The South Korean government's official YouTube channel was hacked on Saturday morning to broadcast a video featuring billionaire Elon Musk chatting about cryptocurrency, according to local media repo… [+1879 chars]"
"122"," NBC News","Ethereum’s software upgrade just went live — here’s what it does","Ethereum’s biggest-ever upgrade just took effect, in what industry experts are calling a game changer for the entire crypto sector.",2022-09-15 14:16:01,"Ethereums biggest-ever upgrade just took effect, in what industry experts are calling a game changer for the entire crypto sector. Thus far, all signs suggest the so-called merge which is designed to… [+7098 chars]"
"123"," NBC News","U.S. seizes $30 mln in crypto from North Korea-linked hackers","The United States has seized over $30 million in cryptocurrency stolen by North Korean-linked hackers Lazarus from the popular online game Axie Infinity,",2022-09-08 19:30:37,"The United States has seized over $30 million in cryptocurrency stolen by North Korean-linked hackers Lazarus from the popular online game Axie Infinity, crypto intelligence firm Chainalysis said on … [+1155 chars]"
"124"," NBC News","Explainer: Understanding Ethereum’s major 'proof of stake' upgrade","Ethereum, the blockchain that underpins the world’s second-largest crypto token ether, will soon undergo a major software upgrade that promises to slash the",2022-09-09 12:39:32,"Ethereum, the blockchain that underpins the worlds second-largest crypto token ether, will soon undergo a major software upgrade that promises to slash the amount of energy needed to create new coins… [+3296 chars]"
"125"," The Verge","Hacker steals $160 million from crypto trading firm Wintermute","Cryptocurrency market-making firm Wintermute has been hit by a hack that drained $160 million of USD Coin, Tether, Wrapped ETH, and other cryptocurrencies from the company’s liquidity reserves.",2022-09-20 14:21:18,"Hacker steals $160 million from crypto trading firm Wintermute
Hacker steals $160 million from crypto trading firm Wintermute
 / A series of unauthorized transactions sent tens of millions of dolla… [+3161 chars]"
"126"," The Verge","How The Merge will slash Ethereum’s climate pollution","If “The Merge” is successful, Ethereum will use a fraction of the energy it used to. That’s supposed drastically cut down the cryptocurrency’s climate pollution. But there’s a lot that has to go right first.",2022-09-06 23:25:23,"If The Merge is successful, it will drastically shrink the cryptocurrencys energy use
Computer equipment used by an Ethereum miner on October 20, 2021 in Vilassar de Mar, Spain.
Photo by Manuel Med… [+10018 chars]"
"127"," TechCrunch","Insurtech goes niche","Welcome to The Interchange! If you received this in your inbox, thank you for signing up and your vote of confidence. If you’re reading this as a post on our site, sign up here so you can receive it directly in the future. Every week, I’ll take a look at the …",2022-09-25 14:15:49,"Welcome to The Interchange! If you received this in your inbox, thank you for signing up and your vote of confidence. If youre reading this as a post on our site, sign up here so you can receive it d… [+11944 chars]"
"128"," TechCrunch","To reach fintech’s next level, infrastructure providers must address these pain points","As long as infrastructure providers are able to specialize to address the pain points of their customers, they can be an asset to any market they serve.",2022-09-01 14:00:39,"Weve all seen the headlines: Fintech is struggling. Since last year, valuations are down 70%-80%, deal activity is down 67% and layoffs have plagued many former industry favorites.
But fintech is re… [+2564 chars]"
"129"," The Verge","A huge phishing campaign has targeted over 130 companies, including Twilio and Signal","Organizations, including Twilio, DoorDash, and Signal, have been potentially compromised by hackers, with login credentials belonging to nearly 10,000 Okta users being stolen.",2022-08-26 12:26:46,"DoorDash, Best Buy, and AT&amp;T were also targeted
If you buy something from a Verge link, Vox Media may earn a commission. See our ethics statement.
The 0ktapus phishing campaign is one of the be… [+3639 chars]"
"130"," Reuters","Ethereum's energy-saving Merge upgrade","Ethereum, the blockchain that underpins the world's second-largest crypto token ether, on Thursday underwent a major software upgrade that slashes the amount of energy needed to create new coins and carry out transactions. <a href=""/technology/ethereum-blockc…",2022-09-15 09:24:43,"Sept 15 (Reuters) - Ethereum, the blockchain that underpins the world's second-largest crypto token ether, on Thursday underwent a major software upgrade that slashes the amount of energy needed to c… [+3510 chars]"
"131"," Reuters","Understanding Ethereum's major ""Merge"" upgrade","Ethereum, the blockchain that underpins the world's second-largest crypto token ether, will soon undergo a major software upgrade that promises to slash the amount of energy needed to create new coins and carry out transactions.",2022-09-09 04:06:52,"Sept 9 (Reuters) - Ethereum, the blockchain that underpins the world's second-largest crypto token ether, will soon undergo a major software upgrade that promises to slash the amount of energy needed… [+3433 chars]"
"132"," TechCrunch","North Korea's Lazarus hackers are exploiting Log4j flaw to hack US energy companies","The state-sponsored hacking group used a year-old Log4j vulnerability to compromise U.S., Canadian and Japanese energy company servers.",2022-09-08 13:58:17,"Security researchers have linked a new cyber espionage campaign targeting U.S., Canadian and Japanese energy providers to the North Korean state-sponsored Lazarus hacking group.
Threat intelligence … [+2541 chars]"
"133"," Reuters","Australia's Optus contacts customers caught in cyber attack - Reuters","Australia's number two telecommunications company, Optus, said on Saturday it was contacting customers about a cyberattack that accessed personal details of up to 10 million customers, in one of Australia's biggest cybersecurity breaches.",2022-09-24 07:00:00,"Sept 24 (Reuters) - Australia's number two telecommunications company, Optus, said on Saturday it was contacting customers about a cyberattack that accessed personal details of up to 10 million custo… [+1972 chars]"
"134"," Business Insider","Elon Musk's crypto interview was broadcast on the South Korean government's YouTube channel that was hacked and renamed 'SpaceX Invest'","The breach on Saturday morning is the fourth time in the last two weeks that a YouTube channel run by the South Korean government was hacked.",2022-09-05 03:48:07,"The South Korean government's official YouTube channel was hacked on Saturday morning to broadcast a video featuring billionaire Elon Musk chatting about cryptocurrency, according to local media repo… [+1879 chars]"
"135"," NBC News","U.S. seizes $30 mln in crypto from North Korea-linked hackers","The United States has seized over $30 million in cryptocurrency stolen by North Korean-linked hackers Lazarus from the popular online game Axie Infinity,",2022-09-08 19:30:37,"The United States has seized over $30 million in cryptocurrency stolen by North Korean-linked hackers Lazarus from the popular online game Axie Infinity, crypto intelligence firm Chainalysis said on … [+1155 chars]"
"136"," NBC News","Explainer: Understanding Ethereum’s major 'proof of stake' upgrade","Ethereum, the blockchain that underpins the world’s second-largest crypto token ether, will soon undergo a major software upgrade that promises to slash the",2022-09-09 12:39:32,"Ethereum, the blockchain that underpins the worlds second-largest crypto token ether, will soon undergo a major software upgrade that promises to slash the amount of energy needed to create new coins… [+3296 chars]"
"137"," NBC News","Ethereum’s software upgrade just went live — here’s what it does","Ethereum’s biggest-ever upgrade just took effect, in what industry experts are calling a game changer for the entire crypto sector.",2022-09-15 14:16:01,"Ethereums biggest-ever upgrade just took effect, in what industry experts are calling a game changer for the entire crypto sector. Thus far, all signs suggest the so-called merge which is designed to… [+7098 chars]"
