logo src,project_name,project_link,chain_platform,category,issue,funds_lost,date
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/613104b6908bd.png,Luna Yield,https://www.lunayield.com/,SOLANA,,Exit Scam,"$6,709,834 ",20.08.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62509755c8a82.jpeg,Alchemix,https://alchemix.fi/,ETH,Other,Exploit,"$6,500,000 ",18.06.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/60edbe04d2d0a.png,Belt Finance,https://belt.fi/,BSC,,Flash Loan Attack,"$6,300,000 ",29.05.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6233364715b96.jpeg,Hundred Finance (2),https://hundred.finance/,FUSE,Borrowing and Lending,Exploit,"$6,200,000 ",15.03.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/63089c123ed3d.png,Kronos Dao,,KLAY,Stablecoin,Other,"$6,000,000 ",19.05.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62fe015e75960.png,My Big Coin,https://www.mybigcoin.com/,,Token,Exit Scam,"$6,000,000 ",21.07.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/611bbd36ed15d.jpeg,XSURGE,http://surge.ddns.net/,BSC,,Flash Loan Attack,"$5,570,000 ",16.08.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62333a990879b.jpeg,Agave,https://agave.finance/,FUSE,Borrowing and Lending,Exploit,"$5,500,000 ",15.03.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61a642afd9c7d.jpeg,Roll,https://tryroll.com/,ETH,,Access control,"$5,389,203 ",14.03.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62ece90e7ed06.png,Solana Slope Wallet,https://solana.com/,SOLANA,Other,Exploit,"$5,200,000 ",03.08.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62a0788aea13d.png,Osmosis,https://osmosis.zone/,,Exchange (DEX),Exploit,"$5,000,000 ",08.06.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61e7005a62210.png,XDX Swap,,HECO,Exchange (DEX),Exploit,"$5,000,000 ",02.07.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62f2771b6273f.png,ZBExchange,https://www.zb.com/en/login,ETH,Exchange (DEX),Exploit,"$4,767,945 ",01.08.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6250495703d94.png,Bitcoin Savings and Trust,,,,Exit Scam,"$4,630,000 ",02.07.2012
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/62dffd856cc45.jpeg,TEDDY DOGE,https://teddydoge.finance/,BSC,Exchange (DEX),Rugpull,"$4,500,000 ",25.07.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/612f81e74f2dd.png,xToken (2),https://xtoken.market/,ETH,Token,Flash Loan Attack,"$4,500,000 ",29.08.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/620293121efe1.jpeg,Meter.io,https://meter.io/,BSC,,Exploit,"$4,400,000 ",06.02.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/612652b06a3a3.jpeg,ChainSwap (2),https://chainswap.com/,ETH,,Exploit,"$4,400,000 ",11.07.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61151d3d17186.jpeg,THORChain,https://thorchain.org/,ETH,Exchange (DEX),Exploit,"$4,364,612 ",15.07.2021
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/61eef5ac94f77.png,Solfire,https://www.solfire.finance/,SOLANA,,Exit Scam,"$4,055,803 ",23.01.2022
https://safefiles.defiyield.info/safe/files/scamDatabase/logo/6137829cdfd16.jpeg,DAO Maker (2),https://daomaker.com/,ETH,,Exploit,"$4,000,000 ",04.09.2021
